,emitterName,latentVector,completionPercentage,jumpActionsPerformed,killsTotal,livesLeft,coinsCollected,remainingTime (20-timeSpent),calc_higher_level_non_empty_blocks,calc_num_enemies
45,CMA-ME,"[-0.0403135  -0.04160281  0.21636785 -0.04644105  0.33065365 -0.09728604
 -0.2595887  -0.06720401 -0.06727629  0.05881261 -0.0260538   0.10879203
  0.25524386 -0.06827252 -0.0118704  -0.0326452   0.1368574  -0.03830329
 -0.06255653 -0.09886301 -0.0215658   0.10641505 -0.04631256  0.10859115
 -0.20598034  0.0372536  -0.07054437  0.20191667  0.03694916 -0.04814045
  0.18615411 -0.02864827]",0,0,0,0,0,0,0.0,0.0
46,CMA-ME,"[ 0.35926704 -0.36630927 -0.10140842  0.01281133  0.21940731 -0.08192269
  0.19189497 -0.01714014  0.34873046 -0.03987709  0.3315645   0.04829256
  0.32192757  0.20481668 -0.01836046 -0.24224618 -0.12929609 -0.17762617
  0.11011496  0.25260061  0.18616527  0.25700137 -0.09623048  0.17334412
 -0.19419336 -0.0083898  -0.20370802  0.20741517  0.16303871 -0.04272373
  0.36150539 -0.11212219]",0,0,0,0,0,0,0.0,0.0
47,CMA-ME,"[-0.20211905  0.0729578  -0.07272563  0.18599097  0.5953625  -0.13872989
 -0.02539258  0.16748416 -0.14730814 -0.01035873 -0.17733083  0.00162351
  0.21976739 -0.3946229   0.01673803  0.13530158  0.49557073 -0.13702437
  0.08407999 -0.1350724  -0.09313974 -0.31972391  0.08832536  0.00982819
  0.01805481 -0.09642104  0.02875312  0.40905198 -0.23134424  0.0046399
  0.18307896 -0.42274985]",0,0,0,0,0,0,0.0,0.0
48,CMA-ME,"[-0.18923638  0.10129439 -0.07016599  0.01810533  0.17791705  0.00609102
  0.12659026  0.10386531  0.28918532  0.00384105  0.06373095 -0.09020661
  0.22666019 -0.00175801 -0.28697707  0.39227643 -0.08024921 -0.21556237
  0.15497376  0.13300684  0.14014286  0.26261571 -0.15898819 -0.32801113
  0.30702784  0.17468871 -0.35182868  0.02081501 -0.04030205 -0.09109075
 -0.30180641 -0.04519736]",0,0,0,0,0,0,0.0,0.0
49,CMA-ME,"[ 3.67167326e-01  4.95858420e-01  1.68781441e-01  2.88729138e-01
 -1.41910432e-01 -7.70657657e-02 -1.74956066e-01 -3.02631385e-01
 -4.92395433e-01  6.20740923e-02  1.06831023e-01  2.49792863e-01
  3.77437657e-01  1.96435249e-01 -2.78512432e-02  9.10414605e-02
  1.74742144e-01  3.26701371e-01 -2.79602066e-04  1.36837113e-01
  3.30520443e-02 -1.53263131e-01  1.40417894e-01 -2.72276306e-01
  1.44193403e-01  1.02020299e-01  5.38218703e-03  4.23135926e-02
 -3.12914787e-01  1.16326870e-01  2.58679803e-01  1.23355967e-01]",0,0,0,0,0,0,0.0,0.0
50,CMA-ME,"[ 0.10930122  0.10706744  0.00347205 -0.18534638 -0.01332142  0.03447801
  0.04588959  0.12627394  0.1116676   0.21681933  0.04781695  0.21237979
 -0.14704602 -0.19300377 -0.12317738  0.05311944  0.17190424  0.29160515
  0.10002256  0.01660639 -0.0540051   0.17418308 -0.09276638  0.30391933
 -0.16316368 -0.09146701 -0.14299611 -0.25345672  0.19049475 -0.22938814
  0.08814194  0.10722499]",0,0,0,0,0,0,0.0,0.0
51,CMA-ME,"[ 0.19980635 -0.14340435 -0.18581704 -0.21073969  0.02638854  0.19914067
  0.14047102 -0.68509489  0.11150229  0.08262767 -0.18464805  0.08778993
  0.25921093  0.08617615 -0.15519856  0.07284664  0.16237671 -0.20007116
  0.12393968 -0.07552509  0.02568147 -0.17310766 -0.0345248  -0.17025602
  0.06837832 -0.14190591  0.14940198 -0.11616301  0.23847056 -0.31067598
 -0.0162448  -0.2624695 ]",0,0,0,0,0,0,0.0,0.0
52,CMA-ME,"[ 0.03493175 -0.0949872  -0.18372699  0.1058579   0.01235537 -0.27508665
 -0.11487106 -0.12959525  0.03212666 -0.28381572 -0.02640786  0.05310782
 -0.11966912 -0.2920187  -0.17806195  0.40993635 -0.17926576  0.13026738
  0.0312111  -0.11527676 -0.05626769  0.40229006 -0.37622916 -0.02247341
 -0.20579533 -0.17767597 -0.30757048  0.20795207 -0.5248885   0.31415682
 -0.01552804  0.04353778]",0,0,0,0,0,0,0.0,0.0
53,CMA-ME,"[-0.10634384  0.22197188 -0.05699818 -0.14511093  0.07181324 -0.22783122
  0.21245452 -0.15710371  0.0070144  -0.00724824  0.31283957  0.05000072
  0.09678399  0.04387168 -0.05137788  0.00788452  0.18786375  0.23928365
  0.03383811  0.09402183  0.21266876  0.19168658  0.42763333  0.24491045
 -0.05234097 -0.27667016 -0.01313446 -0.02891135 -0.04084778 -0.03653984
 -0.02716604  0.10698191]",0,0,0,0,0,0,0.0,0.0
54,CMA-ME,"[ 0.24669302 -0.2290676  -0.20019528  0.09969654  0.20018447  0.06361761
 -0.25438536 -0.01819048 -0.13933335 -0.00092303  0.26342986 -0.22141136
  0.04036165  0.17641216 -0.09991623 -0.33067422 -0.15849489 -0.1790247
 -0.12023678  0.13197466  0.27240547 -0.02555554  0.19929081 -0.08417237
 -0.04943562 -0.05603071 -0.17675268 -0.14868429 -0.01135481 -0.08995363
  0.01747132 -0.0699712 ]",0,0,0,0,0,0,0.0,0.0
